H,28.836
He,20.786
Li,24.86
Be,16.443
B,11.087
C,8.517
N,29.124
O,29.378
F,31.304
Ne,20.786
Na,28.23
Mg,24.869
Al,24.2
Si,19.99
P,23.824
S,22.7
Cl,33.949
Ar,20.786
K,29.6
Ca,25.929
Sc,25.52
Ti,25.06
V,24.89
Cr,23.35
Mn,26.32
Fe,25.1
Co,24.81
Ni,26.07
Cu,24.44
Zn,25.39
Ga,26.03
Ge,23.222
As,24.64
Se,25.363
Br,75.69
Kr,20.786
Rb,31.06
Sr,26.79
Y,26.53
Zr,25.36
Nb,24.6
Mo,24.06
Tc,
Ru,24.06
Rh,24.98
Pd,25.98
Ag,25.35
Cd,26.02
In,26.74
Sn,26.99
Sb,25.23
Te,25.73
I,54.43
Xe,20.786
Cs,32.21
Ba,28.07
La,27.11
Ce,26.94
Pr,27.2
Nd,27.45
Pm,
Sm,29.54
Eu,27.66
Gd,37.03
Tb,28.91
Dy,28.16
Ho,27.15
Er,28.12
Tm,27.03
Yb,26.74
Lu,26.86
Hf,25.73
Ta,25.36
W,24.27
Re,25.48
Os,24.7
Ir,25.1
Pt,25.86
Au,25.418
Hg,27.983
Tl,26.32
Pb,24.7
Bi,25.52
Po,
At,
Rn,20.786
Fr,
Ra,
Ac,27.2
Th,27.32
Pa,
U,27.665
Np,
Pu,
Am,
Cm,
Bk,
Cf,
Es,
Fm,
Md,
No,
Lr,
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
