H,1.5
He,
Li,0.98
Be,1.67
B,1.75
C,1.77
N,1.65
O,
F,
Ne,
Na,0.82
Mg,1.17
Al,1.39
Si,1.5
P,1.65
S,
Cl,
Ar,
K,0.65
Ca,0.91
Sc,1.27
Ti,1.52
V,1.64
Cr,1.73
Mn,1.61
Fe,1.77
Co,1.75
Ni,1.75
Cu,1.47
Zn,1.32
Ga,1.31
Ge,1.37
As,1.44
Se,
Br,
Kr,
Rb,0.6
Sr,0.84
Y,1.21
Zr,1.41
Nb,1.64
Mo,1.77
Tc,1.81
Ru,1.83
Rh,1.76
Pd,1.67
Ag,1.36
Cd,1.24
In,1.17
Sn,1.24
Sb,1.26
Te,
I,
Xe,
Cs,0.55
Ba,0.81
La,1.18
Ce,1.19
Pr,1.2
Nd,1.2
Pm,1.21
Sm,1.21
Eu,0.88
Gd,1.21
Tb,1.22
Dy,1.22
Ho,1.22
Er,1.23
Tm,1.23
Yb,0.92
Lu,1.24
Hf,1.45
Ta,1.63
W,1.81
Re,1.85
Os,1.85
Ir,1.83
Pt,1.78
Au,1.57
Hg,1.24
Tl,1.12
Pb,1.15
Bi,1.16
Po,
At,
Rn,
Fr,
Ra,
Ac,
Th,1.28
Pa,
U,1.51
Np,
Pu,1.44
Am,
Cm,
Bk,
Cf,
Es,
Fm,
Md,
No,
Lr,
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
