Element,AtomicVolume,AtomicWeight,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,FusionHeat,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HHIp,HHIr,HeatCapacityMass,HeatCapacityMolar,HeatFusion,ICSDVolume,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingTemp,MendeleevNumber,MiracleRadius,NUnfilled,NValance,NdUnfilled,NdValence,NeutronCrossSection,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,Polarizability,Resistivity,Row,ShearModulus,SpaceGroupNumber,ThermalConductivity,Valence,VaporizationHeat,Wigner,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
H,18618.051940999998,1.00794,20.13,,1.0,31.0,0.0899,72.8,2.2,13.598443,0.06,0.5579999999999999,7.853,-3.3312910000000002,2.365121,2.979865,0.0,6.615,,,14.304,28.836,0.06,32.02,0.0,0.0,0.0,0.0,0.0,1.0,14.01,92.0,,1.0,1.0,0.0,0.0,0.332,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6667930000000001,,1.0,,194.0,0.1805,1.0,0.452,1.5,,,,,1.25
He,37236.035563,4.0026019999999995,4.07,,18.0,28.0,0.1785,0.0,,24.587387,,0.02,18.098,0.001135,2.9087330000000002,3.664774,0.0,12.305,3200.0,3900.0,5.13,20.786,,19.08,0.0,0.0,0.0,0.0,0.0,1.0,,98.0,,0.0,2.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.205052,,1.0,,225.0,0.1513,0.0,0.083,,,,,,
Li,21.544058,6.941,1615.0,11.0,1.0,128.0,535.0,59.6,0.98,5.391719,3.0,3.0,0.0,-1.8698869999999999,3.213571,4.048846,0.0,16.593332999999998,2900.0,4200.0,3.582,24.86,3.0,21.63,1.0,0.0,0.0,1.0,0.0,0.0,453.69,1.0,152.0,1.0,1.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,24.335,9.4e-8,2.0,4.2,229.0,85.0,1.0,147.0,0.98,,0.625,0.36,0.985,1.61
Be,8.098175999999999,9.012182000000001,2743.0,130.0,2.0,96.0,1848.0,0.0,1.57,9.3227,7.895,7.95,0.0,-3.755039,2.508239,3.160184,0.0,7.89,8000.0,4000.0,1.825,16.443,7.895,8.11,1.0,0.0,0.0,1.0,0.0,0.0,1560.0,67.0,112.0,0.0,2.0,0.0,0.0,0.0092,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.6,190.,2.0,132.0,194.0,190.0,2.0,297.0,1.67,,0.44,0.2,0.64,1.08
B,7.2977669999999994,10.811,4273.0,320.0,13.0,84.0,2460.0,26.7,2.04,8.29802,50.2,50.0,1.524,-6.6776979999999995,2.429779,3.06133,0.0,7.1725,2900.0,2000.0,1.026,11.087,50.2,7.75,0.0,0.0,0.0,0.0,1.0,0.0,2348.0,72.0,88.0,5.0,3.0,0.0,0.0,760.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,3.03,27.,2.0,,166.0,27.0,3.0,507.0,1.75,,0.315,0.165,0.48,0.795
C,8.82509,12.0107,4300.0,33.0,14.0,76.0,2260.0,153.9,2.55,11.2603,117.4,105.0,4.496,-9.209714,2.242692,2.825615,0.0,5.64,500.0,500.0,0.709,8.517,117.4,5.67,0.0,0.0,0.0,0.0,0.0,1.0,3823.0,77.0,77.0,4.0,4.0,0.0,0.0,0.0035,0.0,0.0,4.0,2.0,0.0,2.0,6.0,1.67,140.,2.0,,194.0,140.0,4.0,715.0,1.77,,0.25,0.14,0.39,0.64
N,18592.498967,14.0067,77.21,,15.0,71.0,1.251,7.0,3.04,14.5341,0.355,0.36,6.437,-8.211441,3.091182,3.8946449999999997,0.0,14.76875,1300.0,500.0,1.04,29.124,0.355,22.68,0.0,0.0,0.0,0.0,0.0,1.0,63.05,82.0,72.0,3.0,5.0,0.0,0.0,1.91,0.0,0.0,3.0,3.0,0.0,2.0,7.0,1.1,0.02583,2.0,,194.0,0.025830000000000002,3.0,2.79,1.65,,0.21,0.12,0.33,0.54
O,18592.197165999998,15.9994,90.1,,16.0,66.0,1.429,141.0,3.44,13.61805,0.22,0.222,0.0,-4.756792,2.630894,3.314718,0.0,9.105,500.0,500.0,0.918,29.378,0.22,17.36,0.0,0.0,0.0,0.0,0.0,1.0,54.8,87.0,64.0,2.0,6.0,0.0,0.0,0.00028,0.0,0.0,2.0,4.0,0.0,2.0,8.0,0.802,0.02658,2.0,,12.0,0.02658,2.0,3.41,,,0.18,0.105,0.285,0.465
F,18601.608567,18.998403,84.88,,17.0,57.0,1.696,328.0,3.98,17.4228,0.255,0.26,1.97,-1.698061,2.6876900000000004,3.3862769999999998,0.0,9.7075,1500.0,1500.0,0.824,31.304,0.255,16.42,0.0,0.0,0.0,0.0,0.0,1.0,53.5,93.0,,1.0,7.0,0.0,0.0,0.0096,0.0,0.0,1.0,5.0,0.0,2.0,9.0,0.557,0.0277,2.0,,15.0,0.0277,1.0,3.27,,,0.155,0.095,0.25,0.405
Ne,37232.18569,20.1791,26.92,,18.0,58.0,0.9,0.0,,21.56454,0.164,0.34,13.088,0.094036,2.934894,3.6977339999999996,0.0,12.64,,,1.03,20.786,0.164,23.09,0.0,0.0,0.0,0.0,0.0,1.0,24.56,99.0,,0.0,8.0,0.0,0.0,0.04,0.0,0.0,0.0,6.0,0.0,2.0,10.0,0.39432,0.0491,2.0,,225.0,0.0491,0.0,1.75,,,0.14,0.08,0.22,0.36
Na,39.438328999999996,22.989769,1156.0,6.3,1.0,166.0,968.0,52.8,0.93,5.139076,2.6,2.6,0.0,-1.260241,3.881673,4.8906019999999994,0.0,29.243333000000003,1100.0,500.0,1.228,28.23,2.6,39.76,1.0,0.0,0.0,1.0,0.0,0.0,370.87,2.0,180.0,1.0,1.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,1.0,1.0,11.0,24.11,140.,3.0,3.3,229.0,140.0,1.0,97.7,0.82,,1.55,0.45,1.1,2.65
Mg,23.222293,24.305,1363.0,45.0,2.0,141.0,1738.0,0.0,1.31,7.646235000000001,8.48,8.7,0.0,-1.5422719999999999,3.5773269999999995,4.507149,0.0,22.89,5300.0,500.0,1.023,24.869,8.48,23.48,1.0,0.0,0.0,1.0,0.0,0.0,923.0,68.0,160.0,0.0,2.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10.766667,160.,3.0,17.0,194.0,160.0,2.0,128.0,1.17,,1.13,0.23,0.9,2.03
Al,16.594425,26.981539,2792.0,76.0,13.0,121.0,2700.0,42.5,1.61,5.985768,10.71,10.7,0.0,-3.745423,3.206238,4.039607,0.0,16.48,1600.0,1000.0,0.897,24.2,10.71,16.61,0.0,0.0,0.0,1.0,0.0,0.0,933.47,73.0,141.0,5.0,3.0,0.0,0.0,0.233,0.0,0.0,5.0,1.0,0.0,2.0,13.0,6.8,235.,3.0,26.0,225.0,235.0,3.0,293.0,1.39,,0.905,0.135,0.77,1.675
Si,20.016378,28.0855,3173.0,100.0,14.0,111.0,2330.0,133.6,1.9,8.15168,50.21,50.2,0.773,-5.424918,3.44485,4.3402389999999995,0.0,20.44,4700.0,1000.0,0.712,19.99,50.21,20.02,0.0,0.0,0.0,0.0,1.0,0.0,1687.0,78.0,110.0,4.0,4.0,0.0,0.0,0.166,0.0,0.0,4.0,2.0,0.0,2.0,14.0,5.53,150.,3.0,,227.0,150.0,4.0,359.0,1.5,,0.74,0.06,0.68,1.42
P,28.214121999999996,30.973762,553.5,11.0,15.0,107.0,1823.0,72.0,2.19,10.48669,18.54,0.64,1.625,-5.400509,3.5605910000000005,4.486063,0.0,22.570238,2000.0,5100.0,0.769,23.824,18.54,18.99,0.0,0.0,0.0,0.0,0.0,1.0,317.3,83.0,102.0,3.0,5.0,0.0,0.0,0.18,0.0,0.0,3.0,3.0,0.0,2.0,15.0,3.63,0.236,3.0,,2.0,0.23600000000000002,5.0,12.4,1.65,,0.64,0.04,0.6,1.24
S,27.166546000000004,32.065,717.72,7.7,16.0,105.0,1960.0,200.0,2.58,10.36001,1.721,1.73,2.202,-4.097217,3.722285,4.689785,0.0,25.786875,700.0,1000.0,0.708,22.7,1.721,25.76,0.0,0.0,0.0,0.0,0.0,1.0,388.36,88.0,103.0,2.0,6.0,0.0,0.0,0.52,0.0,0.0,2.0,4.0,0.0,2.0,16.0,2.9,0.205,3.0,,70.0,0.205,6.0,9.8,,,0.56,0.02,0.54,1.1
