H,
He,
Li,11.0
Be,130.0
B,320.0
C,33.0
N,
O,
F,
Ne,
Na,6.3
Mg,45.0
Al,76.0
Si,100.0
P,11.0
S,7.7
Cl,1.1
Ar,
K,3.1
Ca,17.0
Sc,57.0
Ti,110.0
V,160.0
Cr,160.0
Mn,120.0
Fe,170.0
Co,180.0
Ni,180.0
Cu,140.0
Zn,70.0
Ga,
Ge,
As,22.0
Se,8.3
Br,1.9
Kr,
Rb,2.5
Sr,
Y,41.0
Zr,
Nb,170.0
Mo,230.0
Tc,
Ru,220.0
Rh,380.0
Pd,180.0
Ag,100.0
Cd,42.0
In,
Sn,58.0
Sb,42.0
Te,65.0
I,7.7
Xe,
Cs,1.6
Ba,9.6
La,28.0
Ce,22.0
Pr,29.0
Nd,32.0
Pm,33.0
Sm,38.0
Eu,8.3
Gd,38.0
Tb,38.7
Dy,41.0
Ho,40.0
Er,44.0
Tm,45.0
Yb,31.0
Lu,48.0
Hf,110.0
Ta,200.0
W,310.0
Re,370.0
Os,
Ir,320.0
Pt,230.0
Au,220.0
Hg,25.0
Tl,43.0
Pb,46.0
Bi,31.0
Po,
At,
Rn,
Fr,
Ra,
Ac,
Th,54.0
Pa,
U,100.0
Np,
Pu,
Am,
Cm,
Bk,
Cf,
Es,
Fm,
Md,
No,
Lr,
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
