H,92.0
He,98.0
Li,1.0
Be,67.0
B,72.0
C,77.0
N,82.0
O,87.0
F,93.0
Ne,99.0
Na,2.0
Mg,68.0
Al,73.0
Si,78.0
P,83.0
S,88.0
Cl,94.0
Ar,100.0
K,3.0
Ca,7.0
Sc,11.0
Ti,43.0
V,46.0
Cr,49.0
Mn,52.0
Fe,55.0
Co,58.0
Ni,61.0
Cu,64.0
Zn,69.0
Ga,74.0
Ge,79.0
As,84.0
Se,89.0
Br,95.0
Kr,101.0
Rb,4.0
Sr,8.0
Y,12.0
Zr,44.0
Nb,47.0
Mo,50.0
Tc,53.0
Ru,56.0
Rh,59.0
Pd,62.0
Ag,65.0
Cd,70.0
In,75.0
Sn,80.0
Sb,85.0
Te,90.0
I,96.0
Xe,102.0
Cs,5.0
Ba,9.0
La,13.0
Ce,15.0
Pr,17.0
Nd,19.0
Pm,21.0
Sm,23.0
Eu,25.0
Gd,27.0
Tb,29.0
Dy,31.0
Ho,33.0
Er,35.0
Tm,37.0
Yb,39.0
Lu,41.0
Hf,45.0
Ta,48.0
W,51.0
Re,54.0
Os,57.0
Ir,60.0
Pt,63.0
Au,66.0
Hg,71.0
Tl,76.0
Pb,81.0
Bi,86.0
Po,91.0
At,97.0
Rn,103.0
Fr,6.0
Ra,10.0
Ac,14.0
Th,16.0
Pa,18.0
U,20.0
Np,22.0
Pu,24.0
Am,26.0
Cm,28.0
Bk,30.0
Cf,32.0
Es,34.0
Fm,36.0
Md,38.0
No,40.0
Lr,42.0
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
