H,1.0
He,2.0
Li,1.0
Be,2.0
B,3.0
C,4.0
N,5.0
O,6.0
F,7.0
Ne,8.0
Na,1.0
Mg,2.0
Al,3.0
Si,4.0
P,5.0
S,6.0
Cl,7.0
Ar,8.0
K,1.0
Ca,2.0
Sc,3.0
Ti,4.0
V,5.0
Cr,6.0
Mn,7.0
Fe,8.0
Co,9.0
Ni,10.0
Cu,11.0
Zn,12.0
Ga,13.0
Ge,14.0
As,15.0
Se,16.0
Br,17.0
Kr,18.0
Rb,1.0
Sr,2.0
Y,3.0
Zr,4.0
Nb,5.0
Mo,6.0
Tc,7.0
Ru,8.0
Rh,9.0
Pd,10.0
Ag,11.0
Cd,12.0
In,13.0
Sn,14.0
Sb,15.0
Te,16.0
I,17.0
Xe,18.0
Cs,1.0
Ba,2.0
La,3.0
Ce,4.0
Pr,5.0
Nd,6.0
Pm,7.0
Sm,8.0
Eu,9.0
Gd,10.0
Tb,11.0
Dy,12.0
Ho,13.0
Er,14.0
Tm,15.0
Yb,16.0
Lu,17.0
Hf,18.0
Ta,19.0
W,20.0
Re,21.0
Os,22.0
Ir,23.0
Pt,24.0
Au,25.0
Hg,26.0
Tl,27.0
Pb,28.0
Bi,29.0
Po,30.0
At,31.0
Rn,32.0
Fr,1.0
Ra,2.0
Ac,3.0
Th,4.0
Pa,5.0
U,6.0
Np,7.0
Pu,8.0
Am,9.0
Cm,10.0
Bk,11.0
Cf,12.0
Es,13.0
Fm,14.0
Md,15.0
No,16.0
Lr,17.0
Rf,18.0
Db,19.0
Sg,20.0
Bh,21.0
Hs,22.0
Mt,23.0
Ds,24.0
Rg,25.0
Cn,26.0
