H,
He,
Li,4.2
Be,132.0
B,
C,
N,
O,
F,
Ne,
Na,3.3
Mg,17.0
Al,26.0
Si,
P,
S,
Cl,
Ar,
K,1.3
Ca,7.4
Sc,29.0
Ti,44.0
V,47.0
Cr,115.0
Mn,78.0
Fe,82.0
Co,75.0
Ni,76.0
Cu,48.0
Zn,43.0
Ga,
Ge,
As,
Se,3.7
Br,
Kr,
Rb,
Sr,6.1
Y,26.0
Zr,33.0
Nb,38.0
Mo,20.0
Tc,
Ru,173.0
Rh,150.0
Pd,44.0
Ag,30.0
Cd,19.0
In,
Sn,18.0
Sb,20.0
Te,16.0
I,
Xe,
Cs,
Ba,4.9
La,14.0
Ce,14.0
Pr,15.0
Nd,16.0
Pm,18.0
Sm,20.0
Eu,7.9
Gd,22.0
Tb,22.0
Dy,25.0
Ho,26.0
Er,28.0
Tm,31.0
Yb,9.9
Lu,27.0
Hf,30.0
Ta,69.0
W,161.0
Re,178.0
Os,222.0
Ir,210.0
Pt,61.0
Au,27.0
Hg,
Tl,2.8
Pb,5.6
Bi,12.0
Po,
At,
Rn,
Fr,
Ra,
Ac,
Th,31.0
Pa,
U,111.0
Np,
Pu,43.0
Am,
Cm,
Bk,
Cf,
Es,
Fm,
Md,
No,
Lr,
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
