H nan
He nan
Li nan
Be nan
B nan
C nan
N nan
O nan
F nan
Ne nan
Na nan
Mg nan
Al nan
Si nan
P nan
S nan
Cl nan
Ar nan
K 0.370000
Ca 0.340000
Sc 0.310000
Ti 0.280000
V 0.260000
Cr 0.250000
Mn 0.230000
Fe 0.220000
Co 0.210000
Ni 0.195000
Cu 0.185000
Zn 0.175000
Ga 0.170000
Ge 0.160000
As 0.155000
Se 0.150000
Br 0.143000
Kr 0.138000
Rb 0.710000
Sr 0.633000
Y 0.580000
Zr 0.540000
Nb 0.510000
Mo 0.490000
Tc 0.455000
Ru 0.450000
Rh 0.420000
Pd 0.400000
Ag 0.385000
Cd 0.370000
In 0.360000
Sn 0.345000
Sb 0.335000
Te 0.325000
I 0.315000
Xe 0.305000
Cs nan
Ba 0.940000
La 0.874000
Ce nan
Pr nan
Nd nan
Pm nan
Sm nan
Eu nan
Gd nan
Tb nan
Dy nan
Ho nan
Er nan
Tm nan
Yb nan
Lu nan
Hf 0.630000
Ta 0.605000
W 0.590000
Re 0.565000
Os 0.543000
Ir 0.526000
Pt 0.510000
Au 0.488000
Hg 0.475000
Tl 0.463000
Pb 0.450000
Bi 0.438000
Po 0.425000
At 0.475000
Rn 0.405000
