H,
He,
Li,0.625
Be,0.44
B,0.315
C,0.25
N,0.21
O,0.18
F,0.155
Ne,0.14
Na,1.55
Mg,1.13
Al,0.905
Si,0.74
P,0.64
S,0.56
Cl,0.51
Ar,0.46
K,2.15
Ca,1.68
Sc,1.53
Ti,1.43
V,1.34
Cr,1.37
Mn,1.23
Fe,1.16
Co,1.1
Ni,1.22
Cu,1.16
Zn,1.06
Ga,0.935
Ge,0.84
As,0.745
Se,0.67
Br,0.62
Kr,0.6
Rb,2.43
Sr,1.79
Y,1.62
Zr,1.56
Nb,1.53
Mo,1.5
Tc,1.49
Ru,1.46
Rh,1.41
Pd,1.37
Ag,1.33
Cd,1.23
In,1.11
Sn,1.0
Sb,0.935
Te,0.88
I,0.83
Xe,0.81
Cs,2.6
Ba,1.887
La,1.705
Ce,
Pr,
Nd,
Pm,
Sm,
Eu,
Gd,
Tb,
Dy,
Ho,
Er,
Tm,
Yb,
Lu,
Hf,1.61
Ta,1.54
W,1.515
Re,1.49
Os,1.48
Ir,1.468
Pt,1.46
Au,1.45
Hg,1.34
Tl,1.22
Pb,1.13
Bi,1.077
Po,1.02
At,0.98
Rn,0.94
Fr,
Ra,
Ac,
Th,
Pa,
U,
Np,
Pu,
Am,
Cm,
Bk,
Cf,
Es,
Fm,
Md,
No,
Lr,
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
