H,
He,
Li,0.985
Be,0.64
B,0.48
C,0.39
N,0.33
O,0.285
F,0.25
Ne,0.22
Na,1.1
Mg,0.9
Al,0.77
Si,0.68
P,0.6
S,0.54
Cl,0.5
Ar,0.46
K,1.54
Ca,1.32
Sc,1.22
Ti,1.15
V,1.09
Cr,1.07
Mn,0.99
Fe,0.95
Co,0.92
Ni,0.96
Cu,0.88
Zn,0.82
Ga,0.76
Ge,0.72
As,0.67
Se,0.615
Br,0.58
Kr,0.56
Rb,1.67
Sr,1.42
Y,1.32
Zr,1.265
Nb,1.23
Mo,1.22
Tc,1.16
Ru,1.145
Rh,1.11
Pd,1.08
Ag,1.045
Cd,0.985
In,0.94
Sn,0.88
Sb,0.83
Te,0.79
I,0.755
Xe,0.75
Cs,1.71
Ba,1.515
La,1.375
Ce,
Pr,
Nd,
Pm,
Sm,
Eu,
Gd,
Tb,
Dy,
Ho,
Er,
Tm,
Yb,
Lu,
Hf,1.3
Ta,1.25
W,1.22
Re,1.19
Os,1.17
Ir,1.16
Pt,1.24
Au,1.21
Hg,1.07
Tl,1.015
Pb,0.96
Bi,0.92
Po,0.88
At,0.85
Rn,0.84
Fr,
Ra,
Ac,
Th,
Pa,
U,
Np,
Pu,
Am,
Cm,
Bk,
Cf,
Es,
Fm,
Md,
No,
Lr,
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
