H,1,1.00794,92,0.332,0.011,0.5,0,0.5,0.666793,2.2,2.3,13.6,72.77,-5.00E-11,6.12,4.82,3.65,1,2,1,0.998,0.991,0.98,0.966,0.947,0.925,0.9,0.872,0.842,0.811,0.778,0.744,0.71,0.676,0.641,0.608,0.574,0.542,0.511,0.481,0.424,0.373,0.35,0.328,0.287,0.251,0.22,0.193,0.18,0.169,0.148,0.13,0.115,0.101,0.095,0.09,0.079,0.071,0.053,0.04,0.031,0.024,0.015,0.01,0.007,0.005,0.003,0.003,0.002,0.001,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,0,31,32,,,,,,,25,53,110,,32.02,0.0899,,,,,,,,,,5.2,1.5,1.42,,,,-0.743522794,0.558,0.452,20.13,14.01,,,,,7.853,-3.331291,2.365121,2.979865,0,6.615
He,2,4.002602,98,0.007,1.00E-05,0,0,0,0.2050522,,4.16,24.59,,-2.36E-11,3.4,2.7,2.1,1.344,2.87,2,1.998,1.993,1.984,1.972,1.957,1.939,1.917,1.893,1.866,1.837,1.806,1.772,1.737,1.701,1.663,1.624,1.584,1.543,1.502,1.46,1.377,1.295,1.254,1.214,1.136,1.06,0.988,0.92,0.887,0.856,0.795,0.738,0.686,0.636,0.613,0.591,0.548,0.509,0.423,0.353,0.295,0.248,0.177,0.129,0.095,0.072,0.055,0.042,0.033,0.026,0.021,0.017,0.014,0.011,0.01,0.004,0.002,0.001,0.004,,,0,0,0,0,0,0,2,2,0,0,0,28,46,,,,,,,120,31,140,,19.08,0.1785,,,,,,,,,,,,,,,,-0.820161072,0.02,0.083,4.07,0.95,,,,,18.098,0.001135,2.908733,3.664774,0,12.305
Li,3,6.941,1,71,,0.5,0,0.5,,0.98,0.91,5.39,59.63,1.78E-10,26,22,18,0.63,0.82,3,2.986,2.947,2.884,2.802,2.708,2.606,2.502,2.4,2.304,2.215,2.135,2.065,2.004,1.95,1.904,1.863,1.828,1.796,1.768,1.742,1.693,1.648,1.626,1.604,1.559,1.513,1.465,1.417,1.393,1.369,1.32,1.27,1.221,1.173,1.149,1.125,1.078,1.033,0.924,0.823,0.732,0.65,0.512,0.404,0.32,0.255,0.205,0.165,0.134,0.11,0.091,0.075,0.063,0.053,0.044,0.021,0.011,0.006,0.012,0.002,0.001,1,1,1,0,0,0,1,1,0,0,0,128,133,124,,0.985,0.625,,152,145,167,181,152,21.63,535,4.60E-05,11,4.2,4.9,,,0.6,9.40E-08,11000000,2.85,0.98,5.53,525.00,40,40,1.929418926,3,147,1615,453.69,344,1.63,11.6,8.62,0,-1.869887,3.213571,4.048846,0,16.593333
Be,4,9.012182,67,0.0092,3.00E-05,0,0,0,5.6,1.57,1.58,9.32,,-1.14E-10,13,10,8.2,0.826,1.6,4,3.987,3.95,3.889,3.807,3.707,3.592,3.468,3.336,3.201,3.065,2.932,2.804,2.683,2.569,2.463,2.365,2.277,2.197,2.125,2.06,1.951,1.864,1.828,1.795,1.739,1.692,1.652,1.616,1.6,1.583,1.551,1.52,1.489,1.458,1.443,1.427,1.395,1.362,1.279,1.195,1.112,1.03,0.876,0.74,0.622,0.522,0.439,0.369,0.311,0.263,0.223,0.19,0.163,0.139,0.12,0.06,0.033,0.019,0.027,0.005,0.003,2,0,0,0,0,0,2,2,0,0,0,96,102,90,85,0.64,0.44,,112,105,112,153,112,8.11,1848,1.13E-05,130,132,287,600,1670,5.5,4.00E-08,25000000,5.05,1.67,2.88,2700.00,109,90,2.278753601,7.95,297,2743,1560,1440,3.32,100.3,0.997,0,-3.755039,2.508239,3.160184,0,7.89
B,5,10.811,72,760,2.4,0.5,1,0.5,3.051,2.04,2.05,8.3,26.99,-9.41E-11,13,11,8.5,0.781,0.88,5,4.988,4.954,4.897,4.82,4.724,4.613,4.488,4.352,4.209,4.06,3.908,3.756,3.606,3.459,3.316,3.179,3.048,2.924,2.808,2.699,2.503,2.336,2.263,2.195,2.077,1.979,1.897,1.829,1.799,1.771,1.723,1.681,1.644,1.611,1.596,1.581,1.553,1.526,1.463,1.402,1.339,1.276,1.147,1.02,0.9,0.79,0.69,0.602,0.524,0.457,0.398,0.347,0.304,0.266,0.233,0.126,0.072,0.043,0.053,0.012,0.006,3,5,0,5,0,0,3,2,1,0,0,84,85,78,73,0.48,0.315,,88,85,87,192,,7.75,2460,6.00E-06,320,,,,49000,9.3,10000,0.0001,5.3,1.75,2.8,3050.00,120,95,1.431363764,50,507,4273,2348,,5.81,178,0.562,1.524,-6.677698,2.429779,3.06133,0,7.1725
C,6,12.0107,77,0.0035,1.50E-05,1,1,0,1.67,2.55,2.54,11.26,121.78,-7.45E-11,10,8.6,6.9,0.91,1.3,6,5.99,5.958,5.907,5.837,5.749,5.645,5.526,5.396,5.255,5.107,4.952,4.794,4.633,4.472,4.311,4.153,3.998,3.847,3.701,3.56,3.297,3.058,2.949,2.846,2.658,2.494,2.351,2.227,2.171,2.12,2.028,1.948,1.88,1.821,1.794,1.77,1.725,1.685,1.603,1.537,1.479,1.426,1.322,1.219,1.114,1.012,0.914,0.822,0.736,0.659,0.588,0.525,0.468,0.418,0.373,0.216,0.13,0.081,0.088,0.025,0.013,4,4,0,4,0,0,4,2,2,0,0,76,75,67,60,0.39,0.25,,77,70,67,170,,5.67,2260,,33,,,,,,,,6.24,1.77,2.2,,,,2.146128036,105,715,4300,3823,2230,7.37,,,4.496,-9.209714,2.242692,2.825615,0,5.64
N,7,14.0067,82,1.91,0.0048,1.5,0,1.5,1.1,3.04,3.07,14.53,-6.8,-1.50E-10,7.6,6.2,5,1.034,1.5,7,6.991,6.963,6.918,6.855,6.776,6.682,6.574,6.453,6.321,6.18,6.03,5.875,5.714,5.551,5.385,5.218,5.051,4.886,4.723,4.563,4.254,3.963,3.825,3.693,3.445,3.219,3.014,2.831,2.747,2.667,2.522,2.393,2.278,2.178,2.132,2.089,2.011,1.942,1.802,1.697,1.616,1.551,1.445,1.353,1.265,1.172,1.09,1.004,0.921,0.843,0.769,0.7,0.636,0.578,0.525,0.324,0.204,0.132,0.134,0.043,0.023,3,3,0,3,0,0,5,2,3,0,0,71,71,60,54,0.33,0.21,,72,65,56,155,,22.68,1.251,,,,,,,,,,6.86,1.65,2.56,,,,-1.587875594,0.36,2.79,77.21,63.05,,4.92,,,6.437,-8.211441,3.091182,3.894645,0,14.76875
O,8,15.9994,87,0.00028,1.00E-06,1,1,2,,3.44,3.61,13.62,140.98,4.27E-08,8.1,6.6,5.3,1,1.3,8,7.992,7.967,7.926,7.869,7.798,7.712,7.612,7.501,7.378,7.245,7.103,6.954,6.798,6.637,6.472,6.304,6.134,5.964,5.793,5.623,5.289,4.965,4.808,4.655,4.363,4.089,3.834,3.599,3.489,3.383,3.186,3.006,2.844,2.697,2.629,2.564,2.445,2.338,2.115,1.946,1.816,1.714,1.568,1.463,1.377,1.298,1.221,1.145,1.07,0.997,0.926,0.857,0.792,0.731,0.674,0.443,0.292,0.196,0.19,0.067,0.037,2,2,0,2,0,0,6,2,4,0,0,66,63,57,53,0.285,0.18,,64,60,48,152,,17.36,1.429,,,,,,,,,,,,,,,,-1.575445023,0.222,3.41,90.1,54.8,,2.6,,,0,-4.756792,2.630894,3.314718,0,9.105
F,9,18.998403,93,0.0096,2.00E-05,0.5,1,1.5,0.557,3.98,4.19,17.42,328.16,,6,4.9,4,1.132,1.6,9,8.993,8.97,8.933,8.881,8.815,8.736,8.645,8.541,8.427,8.302,8.168,8.026,7.876,7.721,7.56,7.395,7.226,7.055,6.883,6.709,6.362,6.02,5.851,5.685,5.363,5.054,4.761,4.484,4.353,4.225,3.983,3.759,3.551,3.36,3.27,3.183,3.022,2.874,2.559,2.309,2.112,1.956,1.735,1.588,1.482,1.398,1.324,1.254,1.186,1.12,1.055,0.99,0.928,0.868,0.81,0.564,0.389,0.27,0.254,0.099,0.055,1,1,0,1,0,0,7,2,5,0,0,57,64,59,53,0.25,0.155,,,50,42,147,,16.42,1.696,,,,,,,,,,,,,,,,-1.557520231,0.26,3.27,84.88,53.5,,0.84,,,1.97,-1.698061,2.68769,3.386277,0,9.7075
Ne,10,20.1791,99,0.04,0.00059,0,0,0,,,4.79,21.57,-116,-8.27E-11,4.1,3.3,2.6,1.259,1.8,10,9.993,9.973,9.938,9.891,9.83,9.757,9.672,9.576,9.469,9.351,9.225,9.09,8.948,8.799,8.643,8.483,8.318,8.15,7.978,7.805,7.454,7.102,6.928,6.754,6.412,6.079,5.758,5.451,5.302,5.158,4.88,4.617,4.37,4.139,4.029,3.923,3.722,3.535,3.126,2.517,2.517,2.296,1.971,1.757,1.609,1.502,1.418,1.346,1.28,1.218,1.158,1.099,1.041,0.984,0.929,0.68,0.489,0.331,,0.137,0.079,0,0,0,0,0,0,8,2,6,0,0,58,67,96,,0.22,0.14,,,160,38,154,,23.09,0.9,,,,,,,,,,,,,,,,-1.308918508,0.34,1.75,26.92,24.56,75,0.02,,,13.088,0.094036,2.934894,3.697734,0,12.64
