,composition,Eg (eV)
0,Hg0.7Cd0.3Te,0.35
2,LuP,1.3
4,ZnO,3.44
6,ZnIn2S4,2.68
7,K2Cd3Te4,2.26
8,K4Sn3Ce3S14,2.46
10,InSb,0.22
11,Sr2Be2B2O7,8.0
12,K2CuNbS4,2.82
14,BAs,1.46
15,Ba4Ga4GeSe12,2.18
17,HgSe,0.07
19,Rb7Th2P6Se21,2.07
20,TlS,1.37
21,CdS,2.5
22,Al2Se3,3.1
23,In2GeTe3,0.68
24,BiSeBr,1.5
25,GaAs0.4P0.6,2.1
26,K2AuPS4,2.63
28,CsB3GeO7,5.76
29,Pb0.97Sn0.03Te,0.3
30,PtAs2,0.55
31,SnGa4S7,3.1
32,Si3N4,5.1
34,Cs2ZnGe3Se8,2.31
35,CeO2,3.41
36,KAgAsS2,2.21
40,LaCuOS,3.14
41,AlSb,1.67
42,Tl2AuPS4,2.2
43,Cs3Sn3F2Cl7,2.96
44,Cs1.13Cd1.13Bi2.87Se6,1.0
46,PtSb2,0.11
47,Hg0.1Zn0.9Te,1.83
48,TlBiTe3,0.5
49,CuCl,3.24
50,Pb0.92Sn0.08Se,0.06
51,CdSe,1.75
52,Cu3SbS4,0.75
53,GaAs,1.46
54,As2Te3,1.76
55,SrB6,3.68
56,GaN,3.25
57,Cd3As2,0.24
58,WO3,2.9
59,EuYb2Se4,1.3
60,Bi2Te2.4Se0.6,0.25
62,CuN3,4.17
63,CdP4,1.05
64,MnI2,4.4
65,InSb,0.24
66,TmAs,1.18
67,CdS,2.6
68,Ga0.3As0.3Zn0.7Se0.7,1.93
69,Cd4GdB3O10,3.8
71,SmAs,1.03
72,RbSbS2,2.1
73,Na5GdMo4O16,3.38
74,Sr2V2Se3O15,2.96
75,UP2S7,1.41
76,GaAs,1.51
78,RbBr,7.65
81,RbBr,7.25
82,SbSeI,1.66
83,KBiSe2,0.7
85,Na2TeSe3,1.95
86,Tl2Te3,0.69
87,Al0.74Gd3Si0.7S7,2.34
88,CsTbZnTe3,2.12
89,BaB6,2.64
90,La5In3S9O3,2.6
91,PbN6,3.02
92,GaN,3.24
93,CaO,6.97
94,Na2S,2.4
95,Rb2Cd3Te4,2.3
96,AgI,2.8
97,CdSe,1.84
98,SnSe,1.2
99,Rb2BaNb2Se11,1.53
100,TaZrN3,1.72
101,Ba3In2P4O16,3.87
103,RbTa3Te2O12,3.88
104,GaTe,1.8
105,ZnO,3.51
106,Ag2SnS3,1.43
107,SnSe,1.3
108,Ba2GaErTe5,1.15
110,K2Hg3Sn2S8,2.5
111,CdSb,0.57
112,GeSe,1.22
113,HfS3,2.85
114,Ga0.9Sb0.9Hg0.1Te0.1,0.65
115,InSb2S4Cl,1.8
118,AgS,0.9
119,Cs2P2Se8,2.44
121,Zn0.55S0.55Ga0.45P0.45,2.3
123,Mg2Sn,0.32
124,Ga1.002Sb0.998Te0.006,0.7
125,CsF,10.0
